-------------------------------------------------------------------------------------
| pred                                                                  | frequency |
| <http://dbpedia.org/property/reference>                               | 17        |
| <http://dbpedia.org/property/almaMater>                               | 16        |
| <http://dbpedia.org/property/released>                                | 16        |
| <http://dbpedia.org/property/successor>                               | 16        |
| <http://www.georss.org/georss/point>                                  | 16        |
| <http://www.w3.org/2002/07/owl#differentFrom>                         | 16        |
| <http://dbpedia.org/property/align>                                   | 15        |
| <http://dbpedia.org/property/children>                                | 15        |
| <http://dbpedia.org/property/city>                                    | 15        |
| <http://dbpedia.org/property/residence>                               | 15        |
| <http://dbpedia.org/ontology/birthName>                               | 14        |
| <http://dbpedia.org/ontology/height>                                  | 14        |
| <http://dbpedia.org/property/artist>                                  | 14        |
| <http://dbpedia.org/property/imageCaption>                            | 14        |
| <http://dbpedia.org/property/knownFor>                                | 14        |
| <http://dbpedia.org/property/owner>                                   | 14        |
| <http://dbpedia.org/property/predecessor>                             | 14        |
| <http://dbpedia.org/property/source>                                  | 14        |
| <http://xmlns.com/foaf/0.1/nick>                                      | 14        |
| <http://dbpedia.org/ontology/Person/height>                           | 13        |
| <http://dbpedia.org/ontology/activeYearsEndYear>                      | 13        |
| <http://dbpedia.org/ontology/recordLabel>                             | 13        |
| <http://dbpedia.org/property/completionDate>                          | 13        |
| <http://dbpedia.org/property/region>                                  | 13        |
| <http://dbpedia.org/property/viaf>                                    | 13        |
| <http://dbpedia.org/ontology/almaMater>                               | 12        |
| <http://dbpedia.org/property/alt>                                     | 12        |
| <http://dbpedia.org/property/architect>                               | 12        |
| <http://dbpedia.org/property/format>                                  | 12        |
| <http://dbpedia.org/property/fullname>                                | 12        |
| <http://dbpedia.org/property/latd>                                    | 12        |
| <http://dbpedia.org/property/latm>                                    | 12        |
| <http://dbpedia.org/property/length>                                  | 12        |
| <http://dbpedia.org/property/longd>                                   | 12        |
| <http://dbpedia.org/property/longm>                                   | 12        |
| <http://dbpedia.org/property/producer>                                | 12        |
| <http://dbpedia.org/property/quote>                                   | 12        |
| <http://dbpedia.org/property/yearsActive>                             | 12        |
| <http://dbpedia.org/ontology/lccnId>                                  | 11        |
| <http://dbpedia.org/ontology/religion>                                | 11        |
| <http://dbpedia.org/ontology/residence>                               | 11        |
| <http://dbpedia.org/property/height>                                  | 11        |
| <http://dbpedia.org/property/imageName>                               | 11        |
| <http://dbpedia.org/property/influences>                              | 11        |
| <http://dbpedia.org/property/lccn>                                    | 11        |
| <http://dbpedia.org/property/rank>                                    | 11        |
| <http://dbpedia.org/property/termStart>                               | 11        |
| <http://dbpedia.org/property/url>                                     | 11        |
| <http://dbpedia.org/ontology/Work/runtime>                            | 10        |
| <http://dbpedia.org/ontology/influencedBy>                            | 10        |
| <http://dbpedia.org/ontology/language>                                | 10        |
| <http://dbpedia.org/ontology/owner>                                   | 10        |
| <http://dbpedia.org/ontology/position>                                | 10        |
| <http://dbpedia.org/ontology/runtime>                                 | 10        |
| <http://dbpedia.org/ontology/spouse>                                  | 10        |
| <http://dbpedia.org/property/awards>                                  | 10        |
| <http://dbpedia.org/property/background>                              | 10        |
| <http://dbpedia.org/property/latns>                                   | 10        |
| <http://dbpedia.org/property/longew>                                  | 10        |
| <http://dbpedia.org/property/writer>                                  | 10        |
| <http://dbpedia.org/ontology/award>                                   | 9         |
| <http://dbpedia.org/ontology/background>                              | 9         |
| <http://dbpedia.org/ontology/individualisedGnd>                       | 9         |
| <http://dbpedia.org/ontology/knownFor>                                | 9         |
| <http://dbpedia.org/ontology/producer>                                | 9         |
