-------------------------------------------------------------------------------------
| pred                                                                  | frequency |
=====================================================================================
| <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                     | 130247    |
| <http://www.w3.org/2000/01/rdf-schema#label>                          | 119194    |
| <http://dbpedia.org/property/latd>                                    | 58300     |
| <http://dbpedia.org/property/latm>                                    | 58300     |
| <http://dbpedia.org/property/latns>                                   | 58300     |
| <http://dbpedia.org/property/lats>                                    | 58300     |
| <http://dbpedia.org/property/longd>                                   | 58300     |
| <http://dbpedia.org/property/longew>                                  | 58300     |
| <http://dbpedia.org/property/longm>                                   | 58300     |
| <http://dbpedia.org/property/longs>                                   | 58300     |
| <http://xmlns.com/foaf/0.1/homepage>                                  | 47486     |
| <http://dbpedia.org/ontology/location>                                | 30610     |
| <http://dbpedia.org/ontology/city>                                    | 30608     |
| <http://dbpedia.org/ontology/iataLocationIdentifier>                  | 30608     |
| <http://dbpedia.org/property/cityServed>                              | 30608     |
| <http://dbpedia.org/property/nativename>                              | 30608     |
| <http://dbpedia.org/property/iata>                                    | 30606     |
| <http://www.w3.org/2003/01/geo/wgs84_pos#lat>                         | 17574     |
| <http://www.w3.org/2003/01/geo/wgs84_pos#long>                        | 17574     |
| <http://dbpedia.org/ontology/abstract>                                | 17417     |
| <http://xmlns.com/foaf/0.1/depiction>                                 | 17365     |
| <http://dbpedia.org/ontology/thumbnail>                               | 16962     |
| <http://dbpedia.org/ontology/populationTotal>                         | 16782     |
| <http://dbpedia.org/property/disambiguates>                           | 16778     |
| <http://dbpedia.org/property/redirect>                                | 16778     |
| <http://xmlns.com/foaf/0.1/name>                                      | 2453      |
| <http://dbpedia.org/ontology/wikiPageRedirects>                       | 2257      |
| <http://www.w3.org/2000/01/rdf-schema#comment>                        | 789       |
| <http://dbpedia.org/ontology/wikiPageDisambiguates>                   | 632       |
| <http://xmlns.com/foaf/0.1/isPrimaryTopicOf>                          | 543       |
| <http://www.w3.org/2002/07/owl#sameAs>                                | 415       |
| <http://dbpedia.org/ontology/birthPlace>                              | 383       |
| <http://dbpedia.org/property/wikiPageUsesTemplate>                    | 373       |
| <http://dbpedia.org/property/populationCensus>                        | 261       |
| <http://dbpedia.org/property/gdpNominal>                              | 251       |
| <http://dbpedia.org/property/gdpNominalYear>                          | 245       |
| <http://dbpedia.org/ontology/producer>                                | 192       |
| <http://dbpedia.org/ontology/genre>                                   | 183       |
| <http://dbpedia.org/ontology/keyPerson>                               | 180       |
| <http://dbpedia.org/ontology/party>                                   | 180       |
| <http://dbpedia.org/ontology/subsidiary>                              | 147       |
| <http://dbpedia.org/property/headquarters>                            | 146       |
| <http://dbpedia.org/property/state>                                   | 146       |
| <http://dbpedia.org/property/country>                                 | 145       |
| <http://dbpedia.org/property/locationCity>                            | 145       |
| <http://dbpedia.org/ontology/parentCompany>                           | 143       |
| <http://dbpedia.org/ontology/foundationPlace>                         | 142       |
| <http://dbpedia.org/ontology/foundedBy>                               | 142       |
| <http://purl.org/dc/terms/subject>                                    | 137       |
| <http://dbpedia.org/property/populationEstimate>                      | 111       |
| <http://dbpedia.org/property/divisions>                               | 102       |
| <http://dbpedia.org/ontology/country>                                 | 96        |
| <http://dbpedia.org/ontology/postalCode>                              | 96        |
| <http://dbpedia.org/ontology/hometown>                                | 82        |
| <http://dbpedia.org/ontology/birthDate>                               | 79        |
| <http://dbpedia.org/ontology/deathDate>                               | 62        |
| <http://dbpedia.org/ontology/album>                                   | 55        |
| <http://dbpedia.org/ontology/date>                                    | 51        |
| <http://dbpedia.org/ontology/releaseDate>                             | 43        |
| <http://xmlns.com/foaf/0.1/page>                                      | 39        |
| <http://dbpedia.org/ontology/influenced>                              | 32        |
| <http://dbpedia.org/ontology/influencedBy>                            | 32        |
| <http://dbpedia.org/property/influenced>                              | 32        |
| <http://dbpedia.org/property/influences>                              | 32        |
| <http://dbpedia.org/ontology/startDate>                               | 31        |
| <http://dbpedia.org/property/occupation>                              | 28        |
| <http://dbpedia.org/property/shortDescription>                        | 28        |
| <http://dbpedia.org/property/_2000pop>                                | 19        |
| <http://dbpedia.org/ontology/place>                                   | 18        |
| <http://dbpedia.org/ontology/wikiPageID>                              | 18        |
| <http://dbpedia.org/property/governor>                                | 18        |
| <http://dbpedia.org/property/medianhouseholdincome>                   | 17        |
| <http://dbpedia.org/ontology/starring>                                | 15        |
| <http://dbpedia.org/property/aprHighF>                                | 12        |
| <http://dbpedia.org/property/aprLowF>                                 | 12        |
| <http://dbpedia.org/property/augHighF>                                | 12        |
