--------------------------------------------------------------------
| pred                                                 | frequency |
| <http://lsq.aksw.org/res/q-3deac372-var-p1>          | 2         |
| <http://lsq.aksw.org/res/q-462a54af-var-p1>          | 2         |
| <http://lsq.aksw.org/res/q-4691ec87-var-p1>          | 2         |
| <http://lsq.aksw.org/res/q-490fadfd-var-p1>          | 2         |
| <http://lsq.aksw.org/res/q-4a5cc243-var-p1>          | 2         |
| <http://lsq.aksw.org/res/q-5d62e89e-var-p1>          | 2         |
| <http://lsq.aksw.org/res/q-7335607f-var-p1>          | 2         |
| <http://lsq.aksw.org/res/q-748f0df8-var-p1>          | 2         |
| <http://lsq.aksw.org/res/q-86a4a21e-var-p1>          | 2         |
| <http://lsq.aksw.org/res/q-88fd12bc-var-p1>          | 2         |
| <http://lsq.aksw.org/res/q-895de2c4-var-p1>          | 2         |
| <http://lsq.aksw.org/res/q-895de2c4-var-p4>          | 2         |
| <http://lsq.aksw.org/res/q-895de2c4-var-p7>          | 2         |
| <http://lsq.aksw.org/res/q-8ce62ea4-var-p1>          | 2         |
| <http://lsq.aksw.org/res/q-8fa990ba-var-p1>          | 2         |
| <http://lsq.aksw.org/res/q-94bcc116-var-p1>          | 2         |
| <http://lsq.aksw.org/res/q-94bcc116-var-p4>          | 2         |
| <http://lsq.aksw.org/res/q-94bcc116-var-p7>          | 2         |
| <http://lsq.aksw.org/res/q-9843478a-var-p1>          | 2         |
| <http://lsq.aksw.org/res/q-9ad061da-var-property>    | 2         |
| <http://lsq.aksw.org/res/q-a198d524-var-p1>          | 2         |
| <http://lsq.aksw.org/res/q-a27387c8-var-p1>          | 2         |
| <http://lsq.aksw.org/res/q-acfdb77e-var-p1>          | 2         |
| <http://lsq.aksw.org/res/q-acfdb77e-var-p4>          | 2         |
| <http://lsq.aksw.org/res/q-acfdb77e-var-p7>          | 2         |
| <http://lsq.aksw.org/res/q-b56ad0cf-var-p1>          | 2         |
| <http://lsq.aksw.org/res/q-bcb52701-var-p1>          | 2         |
| <http://lsq.aksw.org/res/q-c9fbe9ad-var-p1>          | 2         |
| <http://lsq.aksw.org/res/q-c9fe73e3-var-p1>          | 2         |
| <http://lsq.aksw.org/res/q-d8371a28-var-p1>          | 2         |
| <http://lsq.aksw.org/res/q-e5698f4f-var-p1>          | 2         |
| <http://lsq.aksw.org/res/q-eeddb270-var-p1>          | 2         |
| <http://lsq.aksw.org/res/q-f04998c6-var-p1>          | 2         |
| <http://lsq.aksw.org/res/q-f2987c6f-var-p1>          | 2         |
| <http://lsq.aksw.org/res/q-fcb76480-var-p1>          | 2         |
| <http://lsq.aksw.org/res/q-ff03a2f6-var-p1>          | 2         |
| <http://lsq.aksw.org/res/q-ff03a2f6-var-p4>          | 2         |
