---------------------------------------------------------------------------------------------------
| pred                                                                                | predCount |
| <http://www.w3.org/2003/01/geo/wgs84_pos#geometry>                                  | 37        |
| <http://dbpedia.org/ontology/genre>                                                 | 36        |
| <http://dbpedia.org/ontology/keyPersonPosition>                                     | 36        |
| <http://dbpedia.org/ontology/producer>                                              | 36        |
| <http://dbpedia.org/property/length>                                                | 35        |
| <bif:contains>                                                                      | 34        |
| <http://dbpedia.org/ontology/foundationdate>                                        | 34        |
| <http://dbpedia.org/ontology/musicalArtist>                                         | 34        |
| <http://dbpedia.org/property/frMetropolePopulation>                                 | 33        |
| <http://www.w3.org/2004/02/skos/core#subject>                                       | 33        |
| <http://dbpedia.org/property/seatingCapacity>                                       | 31        |
| <http://dbpedia.org/ontology/party>                                                 | 30        |
| <http://dbpedia.org/property/leaderTitle>                                           | 30        |
| <http://dbpedia.org/ontology/knownFor>                                              | 29        |
| <http://dbpedia.org/property/currencyCode>                                          | 28        |
| <http://dbpedia.org/property/founded>                                               | 27        |
| <http://dbpedia.org/ontology/almaMater>                                             | 26        |
| <http://dbpedia.org/property/latd>                                                  | 26        |
| <http://xmlns.com/foaf/0.1/surname>                                                 | 26        |
| <http://dbpedia.org/ontology/areaTotal>                                             | 25        |
| <http://dbpedia.org/ontology/timeZone>                                              | 25        |
| <http://dbpedia.org/ontology/icaoLocationIdentifier>                                | 24        |
| <http://dbpedia.org/ontology/nationality>                                           | 24        |
| <http://dbpedia.org/ontology/leaderName>                                            | 23        |
| <http://dbpedia.org/property/longd>                                                 | 23        |
| <http://dbpedia.org/property/popMunicipality>                                       | 23        |
| <http://xmlns.com/foaf/spec/homepage>                                               | 23        |
| <http://dbpedia.org/ontology/products>                                              | 22        |
| <http://dbpedia.org/property/populationTotal>                                       | 21        |
| <http://xmlns.com/foaf/0.1/givenName>                                               | 21        |
| <http://dbpedia.org/ontology/locationcity>                                          | 20        |
| <http://dbpedia.org/property/abstract>                                              | 20        |
| <http://dbpedia.org/property/frTotalPopulationEstimate>                             | 20        |
| <http://dbpedia.org/property/whs>                                                   | 20        |
| <http://dbpedia.org/ontology/capital>                                               | 19        |
| <http://dbpedia.org/ontology/developer>                                             | 19        |
| <http://dbpedia.org/property/type>                                                  | 19        |
| <http://dbpedia.org/property/frMetropolePopulationEstimateRank>                     | 18        |
| <http://dbpedia.org/property/frTotalPopulationEstimateRank>                         | 18        |
| <http://dbpedia.org/property/frTotalPopulationEstimateYear>                         | 18        |
| <http://dbpedia.org/property/title>                                                 | 18        |
| <http://purl.org/dc/elements/1.1/creator>                                           | 18        |
| <http://dbpedia.org/ontology/starring>                                              | 17        |
| <http://dbpedia.org/ontology/wikiPageWikiLink>                                      | 17        |
| <http://dbpedia.org/ontology/populationDensity>                                     | 16        |
| <http://dbpedia.org/property/almaMater>                                             | 16        |
| <http://dbpedia.org/ontology/releaseDate>                                           | 15        |
| <http://dbpedia.org/property/chembl>                                                | 15        |
| <http://dbpedia.org/property/drugbank>                                              | 15        |
| <http://dbpedia.org/property/routesOfAdministration>                                | 15        |
| <http://dbpedia.org/property/tradename>                                             | 15        |
| <http://dbpedia.org/ontology/author>                                                | 14        |
| <http://dbpedia.org/property/populationDensityKm>                                   | 14        |
| <http://dbpedia.org/property/populationDensityRank>                                 | 14        |
| <http://dbpedia.org/property/populationDensitySqMi>                                 | 14        |
| <http://www.dbpedia.org/propertyinfluenced>                                         | 14        |
| <http://www.dbpedia.org/propertyinfluences>                                         | 14        |
| <http://dbpedia.org/property/starring>                                              | 13        |
| <http://purl.org/dc/elements/1.1/title>                                             | 13        |
| <http://xmlns.com/foaf/0.1/maker>                                                   | 13        |
| <http://xmlns.com/foaf/0.1/mbox>                                                    | 13        |
| <http://dbpedia.org/ontology/artist>                                                | 12        |
| <http://example.org/geo#location>                                                   | 12        |
| <http://dbpedia.org/ontology/PopulatedPlace/populationDensity>                      | 11        |
| <http://dbpedia.org/property/latitude>                                              | 11        |
| <http://dbpedia.org/property/longitude>                                             | 11        |
| <http://purl.org/dc/terms/recette>                                                  | 11        |
| <http://dbpedia.org/ontology/sameAs>                                                | 10        |
| <http://dbpedia.org/property/animal>                                                | 10        |
| <http://dbpedia.org/property/birthPlace>                                            | 10        |
| <http://dbpedia.org/property/cityofbirth>                                           | 10        |
| <http://dbpedia.org/property/clubnumber>                                            | 10        |
| <http://dbpedia.org/property/colors>                                                | 10        |
| <http://dbpedia.org/property/currentclub>                                           | 10        |
| <http://dbpedia.org/property/dateOfBirth>                                           | 10        |
| <http://dbpedia.org/property/image>                                                 | 10        |
| <http://dbpedia.org/property/position>                                              | 10        |
| <http://purl.org/dc/terms/subjectsubject>                                           | 10        |
| <http://dbpedia.org/ontology/isPartOf>                                              | 9         |
| <http://dbpedia.org/ontology/position>                                              | 9         |
| <http://dbpedia.org/property/commonName>                                            | 9         |
| <http://dbpedia.org/property/commonscatNProperty>                                   | 9         |
| <http://dbpedia.org/property/countryofbirth>                                        | 9         |
| <http://dbpedia.org/property/director>                                              | 9         |
| <http://dbpedia.org/property/wordnet_type>                                          | 9         |
| <http://example.org/geo#placeName>                                                  | 9         |
| <http://purl.org/dc/terms/lait>                                                     | 9         |
| <http://purl.org/dc/terms/milk>                                                     | 9         |
| <http://purl.org/rss/1.0/title>                                                     | 9         |
| <http://www.w3.org/2000/01/rdf-schema#domain>                                       | 9         |
| <http://xmlns.com/foaf/0.1/gender>                                                  | 9         |
| <http://dbpedia.org/ontology/associatedMusicalArtist>                               | 8         |
| <http://dbpedia.org/ontology/class>                                                 | 8         |
| <http://dbpedia.org/ontology/manufacturer>                                          | 8         |
| <http://dbpedia.org/ontology/populationMetro>                                       | 8         |
| <http://dbpedia.org/property/associatedActs>                                        | 8         |
| <http://dbpedia.org/property/mainIngredient>                                        | 8         |
| <http://dbpedia.org/property/settlementType>                                        | 8         |
| <http://dbpedia.org/property/spouse>                                                | 8         |
| <http://purl.org/dc/terms/provenance>                                               | 8         |
| <http://www.w3.org/2003/01/geo/lat>                                                 | 8         |
| <http://www.w3.org/2003/01/geo/long>                                                | 8         |
| <http://dbpedia.org/ontology/BasketballPlayer>                                      | 7         |
| <http://dbpedia.org/ontology/Cyclist>                                               | 7         |
| <http://dbpedia.org/ontology/date>                                                  | 7         |
| <http://dbpedia.org/ontology/foundedBy>                                             | 7         |
| <http://dbpedia.org/ontology/foundingYear>                                          | 7         |
| <http://dbpedia.org/property/birthName>                                             | 7         |
| <http://dbpedia.org/property/utcOffset>                                             | 7         |
| <http://purl.org/dc/terms/origin>                                                   | 7         |
| <http://xmlns.com/foaf/0.1/knows>                                                   | 7         |
| <dbpedia:ontology/populationTotal>                                                  | 6         |
| <file:///home/samita/LSQ-master/lat>                                                | 6         |
| <file:///home/samita/LSQ-master/long>                                               | 6         |
| <http://dbpedia.org/ontology/binomialAuthority>                                     | 6         |
| <http://dbpedia.org/ontology/drugbank>                                              | 6         |
| <http://dbpedia.org/ontology/established>                                           | 6         |
| <http://dbpedia.org/ontology/height>                                                | 6         |
| <http://dbpedia.org/owl/influenced>                                                 | 6         |
| <http://dbpedia.org/owl/influencedBy>                                               | 6         |
| <http://dbpedia.org/property/background>                                            | 6         |
| <http://dbpedia.org/property/champion>                                              | 6         |
| <http://dbpedia.org/property/established>                                           | 6         |
| <http://dbpedia.org/property/year>                                                  | 6         |
| <http://purl.org/dc/elements/1.1/description>                                       | 6         |
| <http://www.daml.org/2003/01/periodictable/PeriodicTable#name>                      | 6         |
| <http://www.semwebtech.org/mondial/10/meta#name>                                    | 6         |
| <http://www.w3.org/2001/vcard-rdf/3.0#FN>                                           | 6         |
| <http://xmlns.com/foaf/0.1/primaryTopic>                                            | 6         |
| <http://xmlns.com/foaf/spec/#homepage>                                              | 6         |
| <http://dbpedia.org/ontology/Name>                                                  | 5         |
| <http://dbpedia.org/ontology/heir>                                                  | 5         |
| <http://dbpedia.org/ontology/populationUrban>                                       | 5         |
| <http://dbpedia.org/ontology/region>                                                | 5         |
| <http://dbpedia.org/property/capacity>                                              | 5         |
